"English STEM Instructional Sentence (Input X)", "Expert Tonal Translation & Morphology (Ground Truth Y)"
"Cell division is vital for growth.", "Ìpín-sẹ́ẹ̀lì ṣe pàtàkì fún ìdàgbàsókè.",
"Anions are negatively charged ions.", "Áónìì nì àwọn áónìì tí ó ní ẹ̀sùn òdì.",
"Organic matter improves soil fertility.", "Ọ̀rọ̀-àdánidá ń mú kí ilẹ̀ ní ìlera."
"A linear equation has a constant rate of change.", "Ìṣirò línìà ní oṣùwọ̀n àyípadà tí kò yí padà.",
"Plant propagation can be done through stem cuttings.", "Ìbísí ewéko leè ṣẹlẹ̀ nípasẹ̀ gígé ẹ̀ka.",
"Atomic weight is the average mass of an element's isotopes.", "Ìwọ̀n ara átọ́mù ni àpapọ̀ ìwọ̀n àwọn ísótópù ẹ̀yà kẹ́míkà kan.",
"The greenhouse effect warms the Earth's atmosphere.", "Ipá gbà-ooru ń mú kí afẹ́fẹ́ ayé gbóná.",
"A circle has an infinite number of lines of symmetry.", "Síríkì ní ọ̀pọ̀lọpọ̀ ìlà ìdọ́gba.",
"Solubility is the maximum amount of solute that dissolves.", "Ìyọ́ni ni iye nǹkan tí a yọ́ tó pọ̀ jù tí ó leè tuka.",
"The mitochondria generate ATP during cellular respiration.", "Mítókóndíríà ń ṣe ATP nígbà ìmí-kúrò sẹ́ẹ̀lì.",
"Livestock housing should be cleaned regularly to prevent infection.", "Ilé-ẹ̀ran gbọ́dọ̀ jẹ́ sísọ di mímọ́ déédéé láti dènà àrùn.",
"A scalar quantity has magnitude but lacks direction.", "Ìwọ̀n sẹ́kálà ní ìwọ̀n ṣùgbọ́n kò ní ìtọ́sọ́nà.",
"An ion is an atom with a net electric charge.", "Áónìì ni átọ́mù tí ó ní ẹ̀sùn ẹ̀lékítíríkì.",
"Photosynthesis occurs in the chloroplasts of plant cells.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ nínú kílórópíláàsì sẹ́ẹ̀lì ewéko.",
"Algebraic expressions can be simplified by combining terms.", "Ìṣirò àlíjíbírà leè jẹ́ dídín kù nípa dídapọ̀ àwọn apá rẹ̀.",
"The nucleus acts as the control center of the cell.", "Niúkíléọ̀sì ń ṣiṣẹ́ gẹ́gẹ́ bí ibùdó ìṣàkóso sẹ́ẹ̀lì.",
"Fertilizers provide essential nutrients for plant growth.", "Ààtàn ń pèsè oúnjẹ tí ewéko nílò fún ìdàgbàsókè.",
"A right triangle satisfies the Pythagorean theorem.", "Tíríàngùlù oní-igun-ọ̀tún ń tẹ̀lé òfin Pítágóòrù.",
"Electric resistance is the opposition to current flow.", "Ìdènà-ẹ̀lékítíríkì ni ìtakò sí ṣíṣàn kọ́ọ̀ǹtì.",
"Genetics studies the inheritance of biological traits.", "Jẹ́nétììkì ń kọ́ nípa ìjogún ànímọ́ ẹ̀dá.",
"The equator is the line dividing the Earth into hemispheres.", "Ìlà-ayé-ìyípo ni ìlà tí ó ń pín ayé sí ẹ̀yà méjì.",
"A chemical bond is the force holding atoms together.", "Ìdè kẹ́míkà ni agbára tí ó ń mú àwọn átọ́mù wà pọ̀.",
"Crop rotation maintains soil fertility over time.", "Ìyípadà-irúgbìn ń tọ́jú ìlera ilẹ̀ bí àkókò ti ń lọ."
"A linear graph represents a constant rate of change.", "Ígíráfù línìà ń dúró fún oṣùwọ̀n àyípadà tí kò yí padà.",
"The chloroplast is the site of photosynthesis in plants.", "Kílórópíláàsì ni ibùdó ìṣiṣẹ́-oòrùn-sínú-ewé nínú ewéko.",
"A chemical equation must be balanced.", "Ìṣirò kẹ́míkà gbọ́dọ̀ jẹ́ dídọ́gba.",
"Livestock housing should be oriented to avoid direct wind.", "Ilé-ẹ̀ran gbọ́dọ̀ wà ní ipò tí yóò dènà afẹ́fẹ́ tààrà.",
"The hypotenuse is the longest side of a right-angled triangle.", "Ìtẹ̀wọ̀n-igun-ọ̀tún ni ẹ̀gbẹ́ tí ó gùn jù nínú tíríàngùlù.",
"Thermal radiation does not require a medium to travel.", "Ìtànṣán ooru kò nílò ohun tí ó ń gba kọjá láti rìn.",
"A scalar is defined by its magnitude only.", "Sẹ́kálà jẹ́ èyí tí a mọ̀ nípasẹ̀ ìwọ̀n rẹ̀ nìkan.",
"Crop rotation reduces the buildup of soil-borne pests.", "Ìyípadà-irúgbìn ń dín ìkójọpọ̀ kòkòrò ilẹ̀ kù.",
"Protons and neutrons are found in the nucleus.", "Pùrótónì àti niútrónì wà nínú niúkíléọ̀sì.",
"A circle has a constant radius.", "Síríkì ní ìwọ̀n-ẹ̀gbẹ́-sí-àárín tí kò yí padà.",
"Enzymes are sensitive to temperature and pH changes.", "Èńsaímù ń ṣàìsàn sí àyípadà ìwọ̀n ooru àti pH.",
"An electric current flows from higher to lower potential.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ń ṣàn láti ibi tí agbára ti ga lọ sí ibi tí ó kéré.",
"Genetics explains how traits are inherited.", "Jẹ́nétììkì ń ṣàlàyé bí a ṣe ń jogún ànímọ́.",
"Soil texture determines how well a soil drains.", "Ìrísí ilẹ̀ ń pinnu bí ilẹ̀ yóò ṣe gba omi kọjá.",
"A parallelogram has equal opposite angles.", "Párálẹ́lógírámù ní igun tí ó kọjú sí ara wọn tí ó dọ́gba.",
"Chemical symbols are universal in science.", "Àmì-kẹ́míkà jẹ́ ohun tí ó wà fún gbogbo ayé nínú ìmọ̀-ìjìnlẹ̀.",
"The heart pumps blood throughout the body.", "Ọkàn ń fa ẹ̀jẹ̀ ṣàn gba ara.",
"Pesticides should be handled with care to avoid toxicity.", "Oògùn-kòkòrò gbọ́dọ̀ jẹ́ lílò pẹ̀lú ìṣọ́ra láti dènà èéfín.",
"The formula for a rectangle's area is length times width.", "Fọ́ọ̀múlù fún ààyè rẹ́kítàngùlù ni ìwọ̀n gígùn tísì ìwọ̀n gbígbòòrò.",
"Plants absorb carbon dioxide through their stomata.", "Ewéko ń gba kábọ̀nì dáyọ́ọ́ìdì nípasẹ̀ sítómà wọn."
"Force equals mass times acceleration.", "Agbára dọ́gba pẹ̀lú ìwọ̀n ara tísì ìyára kánkán.",
"The cell nucleus contains DNA.", "Niúkíléọ̀sì sẹ́ẹ̀lì ní DNA nínú.",
"Soil pH is crucial for agriculture.", "pH ilẹ̀ ṣe pàtàkì fún iṣẹ́-ògbìn.",
"Light travels in straight lines.", "Ìmọ́lẹ̀ ń rìn ní ìlà títọ́.",
"An equation must be balanced.", "Ìṣirò gbọ́dọ̀ jẹ́ dídọ́gba.",
"Livestock feed can be expensive.", "Oúnjẹ ẹran leè ṣọwọ́n.",
"Mitosis creates somatic cells.", "Mítósì ń ṣẹ̀dá àwọn sẹ́ẹ̀lì ara.",
"Geometry helps measure shapes.", "Ìṣírò-ààyè ń ràn wá lọ́wọ́ láti wọ̀n àwọn ìrísí.",
"Acids react with metals.", "Ásìdì ń ṣiṣẹ́ pọ̀ pẹ̀lú irin.",
"DNA has a double helix structure.", "DNA ní ìrísí ìyí-méjì.",
"Photosynthesis needs sunlight.", "Ìṣiṣẹ́-oòrùn-sínú-ewé nílò ìmọ́lẹ̀ oòrùn.",
"Crop pests eat farm produce.", "Kòkòrò-irúgbìn ń jẹ ohun-ọ̀gbìn.",
"Velocity is a vector quantity.", "Ìyára ìtọ́sọ́nà jẹ́ ìwọ̀n vẹ́kítọ̀.",
"The atom is the basic unit of matter.", "Átọ́mù ni ìpìlẹ̀ nǹkan.",
"Friction slows down movement.", "Ìforí-gbárí ń mú kí ìrìn lọ́ra.",
"Compost is rich organic matter.", "Ààtàn-ọ̀rọ̀ ni ọ̀rọ̀-àdánidá tí ó lágbára.",
"The square of two is four.", "Ìwọ̀n-igun-ìdọ́gba méjì ni mẹ́rin.",
"Gases have no fixed shape.", "Gáàsì kò ní ìrísí tí ó wà lórí.",
"Vaccination prevents livestock diseases.", "Ìtẹ̀jú-àìsàn ń dènà àrùn ẹran-ọ̀sìn.",
"Electrons orbit the nucleus.", "Ẹ̀lékítírírónì ń yí niúkíléọ̀sì ká."
"Vector quantities have both magnitude and direction.", "Ìwọ̀n vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà.",
"The cell membrane is selectively permeable.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń jẹ́ kí nǹkan kan wọlé kí ó sì yọ jáde.",
"Thermal expansion causes materials to increase in size.", "Ìfẹ́gẹ̀ ooru ń mú kí nǹkan tóbi sí i.",
"Soil texture refers to the proportion of sand, silt, and clay.", "Ìrísí ilẹ̀ ń tọ́ka sí ìwọ̀n ìyanrìn, erùpẹ̀, àti amọ̀.",
"A prime number is divisible only by one and itself.", "Nọ́mbà ọ̀tọ̀ ni èyí tí a lè pín pẹ̀lú ọ̀kan àti ara rẹ̀ nìkan.",
"Oxidation is the loss of electrons.", "Ìfúnni-ẹ̀lékítírónì ni ìpàdánù ẹ̀lékítírónì.",
"Ecosystems consist of biotic and abiotic components.", "Ètò ìgbé-ayé ní ohun alààyè àti àìlè-sọ̀rọ̀ nínú.",
"Force is measured in Newtons.", "Agbára ni a ń wọ̀n ní Nẹ́tọ̀nì.",
"The area of a triangle is half the base times height.", "Ààyè tíríàngùlù ni ìdajì ìpìlẹ̀ tísì gíga.",
"Chemical reactions involve breaking and forming bonds.", "Ìṣiṣẹ́ kẹ́míkà ní fífọ́ àti ṣíṣe ìdè nínú.",
"Photosynthesis occurs in chloroplasts.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ nínú kílórópíláàsì.",
"Livestock require clean water for optimal health.", "Ẹran-ọ̀sìn nílò omi mímọ́ fún ìlera tó dára.",
"Standard form makes large numbers easier to write.", "Ìlànà ìkọ̀wé-ọ̀nà-ìwọ̀n ń mú kí nọ́mbà ńlá rọrùn láti kọ.",
"Potential energy is stored energy.", "Agbára ìpamọ́ ni agbára tí ó wà ní ìpamọ́.",
"A solution is homogeneous.", "Sọ́lúṣọ̀nù jẹ́ àdàpọ̀ tí ó jọra.",
"Mitosis is for cell reproduction.", "Mítósì ni fún ìbímọ sẹ́ẹ̀lì.",
"The sun is the source of all energy for plants.", "Oòrùn ni orísun agbára fún gbogbo ewéko.",
"A cube has six equal faces.", "Kùúbù ní ojú mẹ́fà tí ó dọ́gba.",
"Stomata are found on the underside of leaves.", "Sítómà wà ní abẹ́ ewé.",
"Crop yields depend on fertilizer application.", "Ìkórè irúgbìn ń bẹ lórí lílo ààtàn."
"A variable is a symbol representing an unknown value.", "Fẹ́ríábùlù ni àmì tí ó dúró fún iye tí a kò mọ̀.",
"The boiling point of water is 100 degrees Celsius.", "Omi ń hó ní ìwọ̀n ọgọ́rùn-ún díírì Sẹ́lṣíọ̀sì.",
"Covalent bonds share electrons between atoms.", "Ìdè kòfélẹ́ǹtì ń pín ẹ̀lékítírónì láàárín àwọn átọ́mù.",
"Integrated Pest Management uses multiple strategies.", "Ìṣàkóso kòkòrò-irúgbìn ń lo ọ̀nà ọ̀pọ̀lọpọ̀.",
"The slope intercept form is y equals mx plus c.", "Fọ́ọ̀múlù ìtẹ̀wọ̀n-ìkọjá ni y dọ́gba m x pẹ̀lú c.",
"Red blood cells transport oxygen to body tissues.", "Àwọn sẹ́ẹ̀lì ẹ̀jẹ̀ pupa ń gbé ọ̀sìgíìì lọ sí àwọn ara.",
"A circuit must be closed for current to flow.", "Kọ́ọ̀kì gbọ́dọ̀ jẹ́ títì fún kọ́ọ̀ǹtì láti ṣàn.",
"Chemical kinetics deals with reaction rates.", "Ìṣirò-ìyára-kẹ́míkà ń ṣàlàyé oṣùwọ̀n ìṣiṣẹ́.",
"Crop rotation prevents soil nutrient depletion.", "Ìyípadà-irúgbìn ń dènà ìkùnà oúnjẹ ilẹ̀.",
"The sine rule is used for non-right triangles.", "Òfin sáìnì ni a ń lò fún tíríàngùlù tí kì í ṣe igun ọ̀tún.",
"Inertia is an object's resistance to change.", "Ìfọ̀rọ̀-sí-orí-dúró ni ìtakò nǹkan sí àyípadà.",
"Noble gases are inert and stable.", "Gáàsì ọlọ́lá kì í ṣiṣẹ́, ó sì dúró ṣinṣin.",
"The heart has four chambers.", "Ọkàn ní iyàrá mẹ́rin.",
"Fertilizer application improves crop growth.", "Lílo ààtàn ń mú kí irúgbìn dàgbà dáadáa.",
"A line segment has two endpoints.", "Ìlà-kíkúrú ní ibi ìparí méjì.",
"Sound waves require a medium to travel.", "Ìgbà-ìrìn ìró nílò ohun tí ó ń gba kọjá.",
"The atom is mostly empty space.", "Átọ́mù púpọ̀ jẹ́ òfo.",
"Mitosis results in genetically identical cells.", "Mítósì ń mú sẹ́ẹ̀lì tí ó jọra nínú jẹ́nétììkì wá.",
"Modern agriculture uses machines for harvesting.", "Iṣẹ́-ògbìn òde òní ń lo ẹ̀rọ fún ìkórè.",
"Standard deviation is a measure of variability.", "Ìyapa-ìtẹ̀lé ni ìwọ̀n ìyàtọ̀."
"The atomic number represents the number of protons.", "Nọ́mbà átọ́mù ń dúró fún iye pùrótónì.",
"Livestock health depends on balanced nutrition.", "Ìlera ẹran-ọ̀sìn ń bẹ lórí oúnjẹ dídọ́gba.",
"A line with a positive slope rises from left to right.", "Ìlà tí ó ní ìtẹ̀wọ̀n rere ń gòkè láti òsì lọ sí ọ̀tún.",
"Chemical bonds are formed by electron interaction.", "Ìdè kẹ́míkà ń wáyé nípasẹ̀ ìbáṣepọ̀ ẹ̀lékítírónì.",
"Pollination is essential for fruit production.", "Ìfọ̀tẹ̀ṣọ́-irúgbìn ṣe pàtàkì fún ṣíṣe èso.",
"Speed is a scalar, velocity is a vector.", "Ìyára ni sẹ́kálà, ìyára ìtọ́sọ́nà ni vẹ́kítọ̀.",
"Elements are arranged in the periodic table.", "Àwọn ẹ̀yà kẹ́míkà wà ní tò ní tábìlì ìtẹ̀lé-ìwọ̀n.",
"An obtuse angle is greater than 90 degrees.", "Igun òbítúsì ju 90 díírì lọ.",
"Respiration releases energy from glucose.", "Ìmí-kúrò ń tú agbára láti inú gúlúkóòsì.",
"Crop storage prevents post-harvest loss.", "Ìtọ́jú irúgbìn ń dènà ìpàdánù lẹ́yìn ìkórè.",
"Voltage is measured in Volts.", "Wọ́ọ̀tájì ni a ń wọ̀n ní Wọ́ọ̀tì.",
"A cell membrane protects the cell.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń dáàbò bo sẹ́ẹ̀lì.",
"Standard deviation indicates data spread.", "Ìyapa-ìtẹ̀lé ń fi ìtànkálẹ̀ ìsọfúnni hàn.",
"Endothermic reactions absorb thermal energy.", "Ìṣiṣẹ́ kẹ́míkà tí ó ń gba agbára ooru.",
"Poultry birds require adequate shelter.", "Àwọn ẹyẹ-ọ̀sìn nílò ibùjókòó tó dára.",
"A diagonal connects two non-adjacent vertices.", "Dáyágónà ń so igun méjì tí kò wà lẹ́gbẹ̀ẹ́ ara wọn pọ̀.",
"The rate of reaction increases with concentration.", "Oṣùwọ̀n ìṣiṣẹ́ ń pọ̀ sí i pẹ̀lú ìyọ̀rọ̀-nǹkan.",
"Chromosomes are composed of DNA and protein.", "Kírómósómù jẹ́ èyí tí ó ní DNA àti prótììnù nínú.",
"Precision agriculture uses data to optimize yield.", "Iṣẹ́-ògbìn pẹ́ńtìkì ń lo ìsọfúnni láti mú ìkórè pọ̀ sí i.",
"Mass is measured in kilograms.", "Ìwọ̀n ara ni a ń wọ̀n ní kìlógírámù."
"A right-angled triangle has an angle of 90 degrees.", "Tíríàngùlù oní-igun-ọ̀tún ní igun 90 díírì.",
"Ionic bonds are formed by electron transfer.", "Ìdè áónììkì ni a ń ṣe nípa mímú ẹ̀lékítírírónì kọjá.",
"Photosynthesis requires sunlight to synthesize glucose.", "Ìṣiṣẹ́-oòrùn-sínú-ewé nílò ìmọ́lẹ̀ oòrùn láti ṣe gúlúkóòsì.",
"Livestock management includes monitoring for parasites.", "Ìṣàkóso ẹran-ọ̀sìn ní nǹkan ṣe pẹ̀lú ìwòye kòkòrò.",
"Acceleration is the rate of change of velocity.", "Ìyára kánkán ni oṣùwọ̀n àyípadà ìyára.",
"A polynomial is an algebraic expression with one or more terms.", "Pólínómíìlù ni ìṣirò àlíjíbírà tí ó ní apá kan tàbí jù bẹ́ẹ̀ lọ.",
"The cell membrane controls entry and exit.", "Mẹ́mírẹ̀nì sẹ́ẹ̀lì ń ṣàkóso ìwọlé àti ìjáde.",
"Redox reactions involve electron exchange.", "Ìṣiṣẹ́ rédọ́ọ̀kì ní pàṣípààrọ̀ ẹ̀lékítírírónì.",
"Crop rotation maintains soil structure.", "Ìyípadà-irúgbìn ń tọ́jú ìrísí ilẹ̀.",
"A vector has both magnitude and direction.", "Vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà pẹ̀lú.",
"The nucleus is the control center.", "Niúkíléọ̀sì ni ibùdó ìṣàkóso.",
"A base has a pH greater than seven.", "Béesì ní pH tí ó ju méje lọ.",
"DNA stores genetic information.", "DNA ń tọ́jú ìsọfúnni jẹ́nétììkì.",
"Poultry production is a viable business.", "Iṣẹ́-ẹyẹ-ọ̀sìn jẹ́ iṣẹ́-ajé tó dára.",
"Kinetic energy depends on speed and mass.", "Agbára ìsúnni ń bẹ lórí ìyára àti ìwọ̀n ara.",
"A triangle is a polygon with three sides.", "Tíríàngùlù ni pólígọ̀nù oní-ẹ̀gbẹ́-mẹ́ta.",
"The rate of reaction is affected by temperature.", "Oṣùwọ̀n ìṣiṣẹ́ ń bẹ lórí ìwọ̀n ooru.",
"Soil fertility is vital for plant growth.", "Ìlera ilẹ̀ ṣe pàtàkì fún ìdàgbàsókè ewéko.",
"The sine rule applies to all triangles.", "Òfin sáìnì ń ṣiṣẹ́ fún gbogbo tíríàngùlù.",
"Electric charge is measured in Coulombs.", "Ẹ̀sùn ẹ̀lékítíríkì ni a ń wọ̀n ní Kúlọ́mbù."
"Quadratic equations can be solved using the quadratic formula.", "Ìṣirò kwádírátì leè jẹ́ dídáhùn nípasẹ̀ lílo fọ́ọ̀múlù kwádírátì.",
"Ecosystem balance is affected by human activities.", "Ìdọ́gba ètò ìgbé-ayé ń bẹ lórí ìṣe ẹ̀dá ènìyàn.",
"The valency of Oxygen is two.", "Fẹ́lẹ́nsì ọ̀sìgíìì ni méjì.",
"A hectare is a unit of land area.", "Hẹ́kítà ni ìwọ̀n ààyè ilẹ̀.",
"Mass spectrometry identifies chemical compounds.", "Ìwọ̀n-ṣpẹ́kítíròmẹ́tírì ń mọ àdàpọ̀ kẹ́míkà.",
"A right angle is exactly 90 degrees.", "Igun ọ̀tún jẹ́ 90 díírì pọ̀.",
"Chlorophyll absorbs light energy.", "Kílórófììlù ń gba agbára ìmọ́lẹ̀.",
"Resistance depends on the length of the wire.", "Ìdènà ń bẹ lórí gígùn wayà.",
"A sterile field prevents contamination.", "Pápá tí kò ní kòkòrò ń dènà ìbàjẹ́.",
"Algebraic variables represent unknown quantities.", "Fẹ́ríábùlù àlíjíbírà ń dúró fún iye tí a kò mọ̀.",
"Photosynthesis occurs in plant cells.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ nínú sẹ́ẹ̀lì ewéko.",
"A meter is a unit of length.", "Mítà ni ìwọ̀n gígùn.",
"Potential difference is measured in Volts.", "Ìyàtọ̀ agbára ni a ń wọ̀n ní Wọ́ọ̀tì.",
"Genetics determines hereditary traits.", "Jẹ́nétììkì ń pinnu ànímọ́ ìjogún.",
"A scalene triangle has no equal sides.", "Tíríàngùlù sẹ́kálììní kò ní ẹ̀gbẹ́ tí ó dọ́gba.",
"Catalysts increase the rate of reactions.", "Kátálísì ń mú kí ìṣiṣẹ́ yára.",
"Soil structure impacts water movement.", "Ìrísí ilẹ̀ ń kan bí omi ṣe ń rìn.",
"A cube is a 3D square.", "Kùúbù ni kwẹ́ẹ́rì 3D.",
"The periodic table lists all elements.", "Tábìlì ìtẹ̀lé-ìwọ̀n ń ṣe àkójọpọ̀ gbogbo ẹ̀yà.",
"Heredity is the biological process of inheritance.", "Ìjogún ni ìlànà ẹ̀dá ti kíkọjá ànímọ́."
"The slope of a line is the ratio of vertical change to horizontal change.", "Ìtẹ̀wọ̀n ìlà ni ìwọ̀n àyípadà títọ́ lórí àyípadà pẹ́ẹ́rẹ́.",
"Mitosis is essential for tissue repair.", "Mítósì ṣe pàtàkì fún títún ara tí ó bàjẹ́ ṣe.",
"An acid has a pH of less than seven.", "Ásìdì ní pH tí ó kéré ju méje lọ.",
"Farm records help in tracking profit and loss.", "Àkọsílẹ̀ oko ń ràn wá lọ́wọ́ láti tọpa èrè àti òfò.",
"A scalene triangle has sides of different lengths.", "Tíríàngùlù sẹ́kálàìní ní ẹ̀gbẹ́ tí ó yàtọ̀ ní ìwọ̀n.",
"The atomic structure includes a nucleus and shells.", "Ìrísí átọ́mù ní niúkíléọ̀sì àti ìpele nínú.",
"Photosynthesis occurs primarily in chloroplasts.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń ṣẹlẹ̀ ní pàtàkì nínú kílórópíláàsì.",
"Livestock nutrition affects meat quality.", "Oúnjẹ ẹran-ọ̀sìn ń kan ìrísí ẹran.",
"A vector quantity has both magnitude and direction.", "Ìwọ̀n vẹ́kítọ̀ ní ìwọ̀n àti ìtọ́sọ́nà pẹ̀lú.",
"Chemical kinetics studies the speed of chemical reactions.", "Ìṣirò-ìyára-kẹ́míkà ń kọ́ nípa ìyára ìṣiṣẹ́ kẹ́míkà.",
"Irrigation maintains crop health during the dry season.", "Ìtọ́jú-omi ń tọ́jú ìlera irúgbìn nígbà ẹ̀ẹ̀rùn.",
"A circle's radius is half the diameter.", "Ìwọ̀n-ẹ̀gbẹ́-sí-àárín síríkì ni ìdajì ìlà-àárín.",
"Enzymes are catalysts in biological systems.", "Èńsaímù jẹ́ kátálísì nínú ètò ẹ̀dá.",
"Standard form expresses large numbers as powers of ten.", "Ìlànà ìkọ̀wé-ọ̀nà-ìwọ̀n ń ṣàpèjúwe nọ́mbà ńlá gẹ́gẹ́ bí agbára mẹ́wàá.",
"Friction is a force that opposes motion.", "Ìforí-gbárí ni agbára tí ó ta kò ìrìn.",
"Soil organic matter is important for fertility.", "Ọ̀rọ̀-àdánidá ilẹ̀ ṣe pàtàkì fún ìlera ilẹ̀.",
"The hypothalamus controls body temperature.", "Háyípótálámù ń ṣàkóso ìwọ̀n ooru ara.",
"A cube's volume is side cubed.", "Ìwọ̀n ààyè kùúbù ni ẹ̀gbẹ́ lẹ́ẹ̀mẹ́ta.",
"Genotype refers to the genetic makeup of an organism.", "Jẹ́nótáìpù ń tọ́ka sí àdàpọ̀ jẹ́nétììkì ẹ̀dá.",
"Electric current flows in a closed circuit.", "Kọ́ọ̀ǹtì ẹ̀lékítíríkì ń ṣàn nínú kọ́ọ̀kì títì."
"The median is the middle value in a data set.", "Mídíánì ni iye tí ó wà láàárín ìṣirò.",
"A rhombus has four equal sides.", "Rọ́mbùsì ní ẹ̀gbẹ́ mẹ́rin tí ó dọ́gba.",
"Work is defined as force times distance.", "Iṣẹ́ ni agbára tísì ìjìnnà.",
"Light travels faster than sound.", "Ìmọ́lẹ̀ ń rìn lọ́gá ju ìró lọ.",
"A parallel circuit has multiple paths for current.", "Kọ́ọ̀kì títẹ̀-pọ̀ ní ọ̀nà púpọ̀ fún kọ́ọ̀ǹtì.",
"Noble gases are found in Group 18.", "Gáàsì ọlọ́lá wà nínú ẹgbẹ́ 18.",
"An alkali is a base that dissolves in water.", "Álkálì ni béesì tí ó ń yọ́ nínú omi.",
"Molarity measures the concentration of a solution.", "Mólárítì ń wọ̀n ìyọ̀rọ̀-nǹkan sọ́lúṣọ̀nù.",
"Osmosis is the diffusion of water through a membrane.", "Ósmósì ni ìtànkálẹ̀ omi gba inú mẹ́mírẹ̀nì.",
"Fertilizer application boosts soil nutrients.", "Lílo ààtàn ń mú kí oúnjẹ ilẹ̀ pọ̀ sí i.",
"Animal husbandry requires good records.", "Ìṣàkóso ẹran-ọ̀sìn nílò àkọsílẹ̀ tó dára.",
"Starch is a carbohydrate found in plants.", "Stáàṣì ni kábóhídírétì tí ó wà nínú ewéko.",
"A virus is a microscopic infectious agent.", "Fáírọ̀sì ni nǹkan tí ń fa àrùn tí a kò lè rí pẹ̀lú ojú lásán.",
"Respiration produces carbon dioxide as a byproduct.", "Ìmí-kúrò ń pèsè kábọ̀nì dáyọ́ọ́ìdì gẹ́gẹ́ bí èrè.",
"Transpiration pulls water up through the xylem.", "Ìyọ́-omi-lọ́wọ́-ewé ń fa omi gòkè gba ksaílẹ̀mù.",
"A pest is any organism that damages crops.", "Kòkòrò-irúgbìn ni ẹ̀dá alààyè tí ó ń ba irúgbìn jẹ́.",
"Crop harvest is the gathering of mature produce.", "Ìkórè irúgbìn ni dídá ohun-ọ̀gbìn tí ó ti gbó.",
"The phloem transports food in plants.", "Fólẹ̀mù ń gbé oúnjẹ kọjá nínú ewéko.",
"A gene is a unit of heredity.", "Jíìnì ni ìpìlẹ̀ ìjogún.",
"Organic farming relies on natural cycles.", "Iṣẹ́-ògbìn ọ̀rọ̀-àdánidá ń gbára lẹ́yìn àyíká àdánidá."
"The focal length is the distance from the lens to the focal point.", "Ìwọ̀n fókààlì ni ìjìnnà láti inú lẹ́nsì dé ibi fókààlì.",
"Fertilizers increase crop yield by providing nutrients.", "Ààtàn ń mú kí ìkórè irúgbìn pọ̀ sí i nípa pípèsè oúnjẹ.",
"A function maps each input to exactly one output.", "Fọ́ńkṣọ̀nù ń sọ ìgbépò kọ̀ọ̀kan di àbájáde kan ṣoṣo.",
"Thermal conductivity measures heat transfer ability.", "Ìdarí-ooru ń wọ̀n agbára láti gbé ooru kọjá.",
"An ionic bond involves electron transfer.", "Ìdè áónììkì ní mímú ẹ̀lékítírírónì kọjá.",
"Crop protection prevents pest damage.", "Ìdáàbò-bò irúgbìn ń dènà ìbàjẹ́ kòkòrò.",
"The volume of a sphere is four-thirds pi r cubed.", "Ìwọ̀n ààyè sífíà ni mẹ́rin-lórí-mẹ́ta pi r lẹ́ẹ̀mẹ́ta.",
"An isotope has the same protons but different neutrons.", "Ísótópù ní pùrótónì kan náà ṣùgbọ́n niútrónì tí ó yàtọ̀.",
"A catalyst speeds up a reaction without being used up.", "Kátálísì ń mú kí ìṣiṣẹ́ yára láì jẹ́ pé ó ń parun.",
"Soil drainage is critical for root health.", "Ìṣàn-omi ilẹ̀ ṣe pàtàkì fún ìlera gbòngbò.",
"A vector has direction and magnitude.", "Vẹ́kítọ̀ ní ìtọ́sọ́nà àti ìwọ̀n.",
"Photosynthesis uses energy from the sun.", "Ìṣiṣẹ́-oòrùn-sínú-ewé ń lo agbára láti inú oòrùn.",
"Molarity is the number of moles per liter of solution.", "Mólárítì ni iye mólì fún lítà sọ́lúṣọ̀nù kan.",
"Poultry birds require a balanced feed for egg laying.", "Àwọn ẹyẹ-ọ̀sìn nílò oúnjẹ dídọ́gba fún bíbọ́ ẹyin.",
"A line graph shows data changes over time.", "Ígíráfù ìlà ń fi àyípadà ìsọfúnni hàn lórí àkókò.",
"Atomic mass is the sum of protons and neutrons.", "Ìwọ̀n ara átọ́mù ni àpapọ̀ pùrótónì àti niútrónì.",
"The heart pumps oxygenated blood to the body.", "Ọkàn ń fa ẹ̀jẹ̀ tí ó ní ọ̀sìgíìì ṣàn gba ara.",
"Weed control is essential for farm profitability.", "Ìṣàkóso ìyọko ṣe pàtàkì fún èrè oko.",
"The sine of an angle is the opposite divided by the hypotenuse.", "Sáìnì igun ni ẹ̀gbẹ́ tí ó kọjú sí igun tí a pín pẹ̀lú ìtẹ̀wọ̀n-igun-ọ̀tún.",
"Chemical energy is stored in bonds.", "Agbára kẹ́míkà ni agbára tí ó wà nínú ìdè."
